year,month,day,hour,min,sec,lat,latDir,latMin,long,longDir,longMin,depth,mag,type,depth2
2009,1,1,5,51,1470,60,N,70,153,W,695,403,8,b,403
2009,1,1,5,56,2130,58,N,901,155,W,2150,0,15,a,-300
2009,1,1,6,23,1913,58,N,1625,154,W,5664,206,7,a,206
2009,1,1,6,54,5532,53,N,5529,166,W,1974,1412,12,E,1412
2009,1,1,11,22,1898,58,N,1069,155,W,2219,273,2,a,273
2009,1,1,15,33,2322,54,N,3628,163,W,3130,319,12,a,319
2009,1,1,16,15,2069,54,N,3645,163,W,3151,277,11,a,277
2009,1,1,19,49,2058,54,N,4986,163,W,5948,1164,9,a,1164
2009,1,1,21,58,1306,54,N,3719,163,W,3059,899,13,a,899
2009,1,2,2,23,5673,60,N,220,153,W,327,0,-2,a,-300
2009,1,2,4,20,5698,54,N,3646,163,W,3036,738,18,a,738
2009,1,2,8,27,821,60,N,3233,152,W,3106,1011,13,a,1011
2009,1,2,8,45,5158,53,N,5314,166,W,5438,658,14,a,658
2009,1,2,8,55,1015,60,N,177,153,W,451,0,0,a,-300
2009,1,2,11,25,5560,54,N,3791,163,W,3617,186,17,a,186
2009,1,2,18,11,5938,58,N,1322,155,W,546,164,11,a,164
2009,1,2,22,52,870,58,N,1435,155,W,799,136,3,a,136
2009,1,3,0,35,2631,56,N,1974,159,W,2311,3275,14,a,3275
2009,1,3,2,36,1184,58,N,1374,155,W,881,202,7,a,202
2009,1,3,3,49,3486,58,N,1698,155,W,27,305,8,a,305
2009,1,3,4,8,5954,58,N,1278,155,W,1265,175,3,a,175
2009,1,3,5,56,4978,54,N,3764,163,W,3261,851,9,a,851
2009,1,3,6,36,2398,55,N,1519,162,W,2343,995,13,a,995
2009,1,3,8,0,4818,54,N,3861,163,W,3654,194,23,a,194
2009,1,3,8,38,2902,58,N,1459,155,W,711,0,0,a,-278
2009,1,3,10,49,1022,54,N,3780,163,W,3260,902,17,a,902
2009,1,3,11,24,8,61,N,1834,152,W,1498,0,-2,a,-165
2009,1,3,14,50,5620,54,N,3737,163,W,3232,703,14,a,703
2009,1,3,18,45,1753,58,N,1481,155,W,721,0,2,a,-300
2009,1,3,19,20,5927,61,N,1910,152,W,1466,33,0,a,33
2009,1,3,20,31,2264,58,N,1463,155,W,699,0,5,a,-300
2009,1,3,20,33,5856,58,N,1498,155,W,656,336,6,a,336
2009,1,3,20,59,5489,58,N,1479,155,W,708,179,4,a,179
2009,1,3,21,0,1452,58,N,1834,155,W,1212,771,10,a,771
2009,1,3,21,9,2005,58,N,1462,155,W,712,120,13,a,120
2009,1,3,21,11,3084,54,N,3751,163,W,3176,943,25,a,943
2009,1,3,21,21,2750,54,N,3722,163,W,3168,906,25,a,906
2009,1,3,21,47,3889,58,N,1504,155,W,731,0,-2,a,-300
2009,1,3,22,29,134,54,N,3717,163,W,3202,691,14,a,691
2009,1,3,22,54,1407,58,N,1521,155,W,727,0,-4,a,-300
2009,1,4,3,59,2365,58,N,1505,155,W,691,0,-2,a,-300
2009,1,4,9,21,2445,61,N,3038,151,W,5423,1000,8,E,1000
2009,1,4,16,14,2681,54,N,3763,163,W,3252,461,10,a,461
2009,1,4,20,49,912,55,N,663,162,W,1040,406,7,a,406
2009,1,4,22,21,1268,61,N,1813,152,W,1460,257,-1,a,257
2009,1,5,0,5,4202,60,N,46,153,W,338,251,6,a,251
2009,1,5,0,28,2450,54,N,3687,163,W,3082,317,16,a,317
2009,1,5,0,40,500,54,N,3875,163,W,3323,42,14,a,42
2009,1,5,4,28,2607,60,N,39,153,W,340,218,6,a,218
2009,1,5,5,51,239,61,N,3078,151,W,5596,1027,13,E,1027
2009,1,5,6,21,4403,60,N,41,153,W,289,295,3,a,295
2009,1,5,6,26,2079,58,N,1662,154,W,5674,413,11,a,413
2009,1,5,7,2,1654,58,N,1472,155,W,606,185,6,a,185
2009,1,5,11,40,3872,58,N,1486,155,W,672,0,11,a,-300
2009,1,5,12,9,2746,58,N,1475,155,W,704,0,3,a,-258
2009,1,5,12,29,5000,58,N,1471,155,W,709,0,0,a,-300
2009,1,5,13,34,1344,61,N,1831,152,W,1418,0,-3,a,-300
2009,1,5,13,50,3143,58,N,1425,155,W,801,165,10,a,165
2009,1,5,15,36,2530,61,N,2760,152,W,183,583,4,E,583
2009,1,5,15,43,984,58,N,1469,155,W,670,117,9,a,117
2009,1,5,17,42,1007,58,N,1476,155,W,651,0,7,a,-293
2009,1,5,19,19,5931,58,N,1485,155,W,639,0,1,a,-300
2009,1,5,21,20,5228,58,N,1567,155,W,686,346,4,a,346
2009,1,5,21,39,111,53,N,5262,166,W,5062,475,1,a,475
2009,1,5,22,19,1967,53,N,5413,166,W,1839,1026,12,E,1026
2009,1,6,2,56,62,54,N,3708,163,W,3017,268,16,a,268
2009,1,6,2,56,3052,54,N,3781,163,W,3309,706,22,a,706
2009,1,6,3,42,5444,54,N,3704,163,W,3068,648,20,a,648
2009,1,6,5,25,291,54,N,3728,163,W,3182,946,25,a,946
2009,1,6,6,43,3657,54,N,3799,163,W,3240,952,14,a,952
2009,1,6,6,57,1602,54,N,3750,163,W,3207,696,24,a,696
2009,1,6,8,35,1280,54,N,3725,163,W,3106,398,14,a,398
2009,1,6,9,41,2576,54,N,3723,163,W,3166,748,13,a,748
2009,1,6,10,12,2730,54,N,3784,163,W,3302,172,13,a,172
2009,1,6,10,19,5090,60,N,202,153,W,475,0,1,a,-300
2009,1,6,10,29,5975,54,N,3744,163,W,3113,906,19,a,906
2009,1,6,10,36,1666,54,N,3720,163,W,3134,688,11,a,688
2009,1,6,10,43,4351,54,N,3767,163,W,3117,926,20,a,926
2009,1,6,10,44,5066,54,N,3779,163,W,3217,855,15,a,855
2009,1,6,10,49,2104,54,N,3685,163,W,3224,818,12,a,818
2009,1,6,10,59,2382,54,N,3671,163,W,3066,592,14,a,592
2009,1,6,11,4,179,54,N,3748,163,W,3159,735,26,a,735
2009,1,6,11,22,2610,52,N,2012,174,W,904,746,9,a,746
2009,1,6,11,59,961,54,N,3784,163,W,3196,648,11,a,648
2009,1,6,12,15,2586,54,N,3797,163,W,3175,946,24,a,946
2009,1,6,12,55,2663,58,N,1046,155,W,2119,169,15,a,169
2009,1,6,14,13,478,54,N,3765,163,W,3174,733,9,a,733
2009,1,6,14,43,3264,58,N,1474,155,W,724,0,2,a,-300
2009,1,6,15,36,3157,54,N,3713,163,W,3143,856,17,a,856
2009,1,6,15,50,3033,61,N,1838,152,W,1408,0,0,a,-300
2009,1,6,16,34,1001,58,N,1464,155,W,713,0,7,a,-300
2009,1,6,16,49,2879,58,N,1465,155,W,661,0,2,a,-300
2009,1,6,17,15,4888,54,N,3688,163,W,3072,414,13,a,414
2009,1,6,17,32,4893,54,N,3784,163,W,3272,902,16,a,902
2009,1,6,17,34,2333,54,N,3770,163,W,3189,723,13,a,723
2009,1,6,17,43,2664,58,N,1769,154,W,5656,371,5,a,371
2009,1,6,17,43,5784,58,N,1448,155,W,782,42,-3,a,42
2009,1,6,17,59,118,58,N,1499,155,W,682,0,-1,a,-300
2009,1,6,18,33,856,58,N,1460,155,W,660,221,2,a,221
2009,1,6,22,40,5257,61,N,1821,152,W,1470,671,5,a,671
2009,1,7,0,12,3040,61,N,1812,152,W,1486,147,3,a,147
2009,1,7,0,47,1945,58,N,1461,155,W,713,123,24,a,123
2009,1,7,1,51,146,54,N,3722,163,W,3167,695,19,a,695
2009,1,7,1,59,1629,58,N,2140,155,W,606,0,2,a,-8
2009,1,7,2,12,5351,61,N,1718,152,W,1507,1114,2,a,1114
2009,1,7,2,20,4216,53,N,5252,166,W,5066,473,9,a,473
2009,1,7,2,30,3517,53,N,5245,166,W,5076,469,8,a,469
2009,1,7,4,48,1462,58,N,1503,155,W,700,0,-1,a,-300
2009,1,7,5,1,3520,59,N,2192,153,W,2577,0,4,a,-274
2009,1,7,5,12,3417,54,N,3701,163,W,3206,474,9,a,474
2009,1,7,7,33,541,54,N,3788,163,W,3207,948,14,a,948
2009,1,7,10,17,2835,58,N,1546,154,W,5848,109,3,a,109
2009,1,7,10,20,1466,58,N,1482,155,W,778,196,1,a,196
2009,1,7,11,16,1070,58,N,1899,155,W,5297,30,22,a,30
2009,1,7,12,27,5646,58,N,1974,155,W,5219,631,9,a,631
2009,1,7,12,29,1308,61,N,1828,152,W,1455,322,4,a,322
2009,1,7,13,42,2527,61,N,1816,152,W,1453,0,1,a,-300
2009,1,7,15,45,1531,61,N,1841,152,W,1487,704,2,a,704
2009,1,7,18,8,4726,61,N,1817,152,W,1509,212,1,b,212
2009,1,7,18,9,2438,58,N,1467,155,W,697,0,4,a,-198
2009,1,7,18,13,5303,58,N,1437,155,W,744,21,6,a,21
2009,1,7,20,50,1599,61,N,1792,152,W,1438,294,-1,a,294
2009,1,7,22,31,443,58,N,1679,154,W,5898,300,3,a,300
2009,1,7,22,59,785,61,N,1826,152,W,1446,466,4,b,466
2009,1,7,23,23,1264,61,N,2893,151,W,5688,751,7,E,751
2009,1,8,0,44,1204,58,N,1090,155,W,2070,175,11,a,175
2009,1,8,2,14,5761,58,N,1707,154,W,5622,206,12,a,206
2009,1,8,3,34,1192,54,N,3565,163,W,2937,291,14,a,291
2009,1,8,4,58,5837,61,N,1850,152,W,1445,223,1,a,223
2009,1,8,5,1,1670,59,N,2154,153,W,2501,0,6,a,-49
2009,1,8,6,28,5083,58,N,1475,155,W,746,86,6,a,86
2009,1,8,7,2,5030,58,N,1458,155,W,677,0,0,a,-34
2009,1,8,7,19,162,58,N,4591,153,W,3973,231,9,a,231
2009,1,8,10,56,3262,58,N,1328,155,W,1112,205,3,a,205
2009,1,8,12,2,5089,58,N,1945,155,W,5102,246,15,a,246
2009,1,8,16,27,861,58,N,1091,155,W,2171,550,7,a,550
2009,1,8,17,14,5023,61,N,1952,152,W,1295,450,4,a,450
