year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2009,1,6,15,36,3157,54,N,37,13,163,W,31,43,856,17
2009,1,6,15,50,3033,61,N,18,38,152,W,14,8,0,0
2009,1,6,16,34,1001,58,N,14,64,155,W,7,13,0,7
2009,1,6,16,49,2879,58,N,14,65,155,W,6,61,0,2
2009,1,6,17,15,4888,54,N,36,88,163,W,30,72,414,13
2009,1,6,17,32,4893,54,N,37,84,163,W,32,72,902,16
2009,1,6,17,34,2333,54,N,37,70,163,W,31,89,723,13
2009,1,6,17,43,2664,58,N,17,69,154,W,56,56,371,5
2009,1,6,17,43,5784,58,N,14,48,155,W,7,82,42,-3
2009,1,6,17,59,118,58,N,14,99,155,W,6,82,0,-1
2009,1,6,18,33,856,58,N,14,60,155,W,6,60,221,2
2009,1,6,22,40,5257,61,N,18,21,152,W,14,70,671,5
2009,1,7,0,12,3040,61,N,18,12,152,W,14,86,147,3
2009,1,7,0,47,1945,58,N,14,61,155,W,7,13,123,24
2009,1,7,1,51,146,54,N,37,22,163,W,31,67,695,19
2009,1,7,1,59,1629,58,N,21,40,155,W,6,6,0,2
2009,1,7,2,12,5351,61,N,17,18,152,W,15,7,1114,2
2009,1,7,2,20,4216,53,N,52,52,166,W,50,66,473,9
2009,1,7,2,30,3517,53,N,52,45,166,W,50,76,469,8
2009,1,7,4,48,1462,58,N,15,3,155,W,7,0,0,-1
2009,1,7,5,1,3520,59,N,21,92,153,W,25,77,0,4
2009,1,7,5,12,3417,54,N,37,1,163,W,32,6,474,9
2009,1,7,7,33,541,54,N,37,88,163,W,32,7,948,14
2009,1,7,10,17,2835,58,N,15,46,154,W,58,48,109,3
2009,1,7,10,20,1466,58,N,14,82,155,W,7,78,196,1
2009,1,7,11,16,1070,58,N,18,99,155,W,52,97,30,22
2009,1,7,12,27,5646,58,N,19,74,155,W,52,19,631,9
2009,1,7,12,29,1308,61,N,18,28,152,W,14,55,322,4
2009,1,7,13,42,2527,61,N,18,16,152,W,14,53,0,1
2009,1,7,15,45,1531,61,N,18,41,152,W,14,87,704,2
2009,1,7,18,8,4726,61,N,18,17,152,W,15,9,212,1
2009,1,7,18,9,2438,58,N,14,67,155,W,6,97,0,4
2009,1,7,18,13,5303,58,N,14,37,155,W,7,44,21,6
2009,1,7,20,50,1599,61,N,17,92,152,W,14,38,294,-1
2009,1,7,22,31,443,58,N,16,79,154,W,58,98,300,3
2009,1,7,22,59,785,61,N,18,26,152,W,14,46,466,4
2009,1,7,23,23,1264,61,N,28,93,151,W,56,88,751,7
2009,1,8,0,44,1204,58,N,10,90,155,W,20,70,175,11
2009,1,8,2,14,5761,58,N,17,7,154,W,56,22,206,12
2009,1,8,3,34,1192,54,N,35,65,163,W,29,37,291,14
2009,1,8,4,58,5837,61,N,18,50,152,W,14,45,223,1
2009,1,8,5,1,1670,59,N,21,54,153,W,25,1,0,6
2009,1,8,6,28,5083,58,N,14,75,155,W,7,46,86,6
2009,1,8,7,2,5030,58,N,14,58,155,W,6,77,0,0
2009,1,8,7,19,162,58,N,45,91,153,W,39,73,231,9
2009,1,8,10,56,3262,58,N,13,28,155,W,11,12,205,3
2009,1,8,12,2,5089,58,N,19,45,155,W,51,2,246,15
2009,1,8,16,27,861,58,N,10,91,155,W,21,71,550,7
2009,1,8,17,14,5023,61,N,19,52,152,W,12,95,450,4
2009,1,8,21,46,746,54,N,35,91,163,W,29,41,599,22
2009,1,8,21,46,5327,54,N,36,94,163,W,30,38,907,18
2009,1,8,21,49,386,54,N,36,99,163,W,30,72,835,16
2009,1,8,23,11,2739,54,N,36,72,163,W,30,88,643,15
2009,1,9,0,37,4524,54,N,36,69,163,W,31,14,677,29
2009,1,9,0,54,5611,58,N,15,91,155,W,,49,152,5
2009,1,9,1,4,4573,54,N,36,64,163,W,31,85,526,17
2009,1,9,7,35,2697,56,N,11,40,159,W,23,15,335,9
2009,1,9,7,38,2931,61,N,21,28,152,W,37,71,685,6
2009,1,9,9,58,79,60,N,,73,152,W,59,77,0,1
2009,1,9,11,32,5074,61,N,18,47,152,W,14,7,94,2
2009,1,9,11,33,1078,61,N,18,74,152,W,15,11,28,6
2009,1,9,13,41,2873,58,N,13,13,155,W,4,82,0,4
2009,1,9,19,41,4572,52,N,18,51,174,W,8,73,610,5
2009,1,9,20,15,4462,60,N,2,31,153,W,5,57,437,7
2009,1,9,21,12,3713,54,N,36,95,163,W,31,2,586,20
2009,1,9,23,8,5406,54,N,35,75,163,W,30,40,371,27
2009,1,9,23,20,78,58,N,10,10,155,W,23,37,522,14
2009,1,9,23,36,5900,54,N,36,48,163,W,31,84,609,24
2009,1,10,1,7,80,58,N,14,18,155,W,8,50,86,2
2009,1,10,1,14,5294,60,N,3,99,153,W,2,17,61,2
2009,1,10,5,2,3668,54,N,36,81,163,W,32,83,351,11
2009,1,10,6,50,2730,54,N,36,38,163,W,30,6,666,28
2009,1,10,14,44,398,58,N,13,99,155,W,10,8,376,16
2009,1,10,14,44,1831,58,N,14,13,155,W,10,7,390,15
2009,1,10,16,7,4813,58,N,11,93,155,W,5,71,596,8
2009,1,10,17,58,3053,61,N,18,25,152,W,13,87,0,-3
2009,1,10,18,9,90,61,N,14,50,152,W,15,55,446,7
2009,1,10,19,40,3921,58,N,19,40,154,W,51,15,300,9
2009,1,10,21,42,559,54,N,37,24,163,W,31,1,866,26
2009,1,10,21,43,4710,54,N,36,57,163,W,30,7,860,18
2009,1,11,2,21,3005,58,N,11,53,155,W,14,96,157,14
2009,1,11,2,56,4118,61,N,17,39,152,W,36,69,476,-5
2009,1,11,4,11,5464,54,N,36,73,163,W,29,89,572,15
2009,1,11,9,17,3251,54,N,38,67,163,W,37,75,294,10
2009,1,11,9,41,3009,61,N,19,18,152,W,14,78,346,0
2009,1,11,11,34,631,54,N,38,59,163,W,36,73,227,7
2009,1,11,12,44,5640,54,N,36,54,163,W,30,35,532,14
2009,1,11,18,30,1727,58,N,7,8,154,W,30,28,748,14
2009,1,11,18,43,2791,54,N,38,17,163,W,35,56,186,17
2009,1,11,19,55,4106,58,N,13,15,155,W,5,28,0,6
2009,1,11,22,12,1187,58,N,10,51,155,W,20,67,310,16
2009,1,11,22,40,2354,60,N,2,93,153,W,2,93,348,1
2009,1,12,1,18,4125,60,N,32,81,152,W,30,81,1022,7
2009,1,12,2,33,4266,54,N,36,40,163,W,30,65,509,15
2009,1,12,4,37,1992,54,N,45,62,163,W,36,43,273,7
2009,1,12,7,40,4846,60,N,30,41,152,W,47,30,3200,15
2009,1,12,10,14,5203,53,N,38,89,167,W,2,5,1446,13
2009,1,12,10,52,5245,58,N,9,57,155,W,23,51,127,12
2009,1,12,11,18,3005,58,N,13,69,155,W,8,96,0,1
2009,1,12,14,46,398,54,N,38,9,163,W,32,39,691,15
2009,1,12,15,17,3477,52,N,19,71,174,W,9,31,801,17
2009,1,12,15,20,834,58,N,14,44,155,W,7,99,114,8
2009,1,12,15,40,894,60,N,2,29,153,W,4,26,0,-2
2009,1,12,18,2,4774,58,N,12,95,155,W,6,33,996,9
2009,1,12,18,23,413,53,N,55,46,166,W,36,23,879,9
2009,1,12,19,22,4105,54,N,36,93,163,W,31,84,363,11
2009,1,12,20,27,2936,58,N,15,58,154,W,55,97,296,11
2009,1,12,20,38,4613,61,N,29,59,151,W,57,64,443,4
2009,1,12,21,3,1440,54,N,37,25,163,W,33,38,304,11
2009,1,12,23,24,1942,60,N,1,75,153,W,4,39,0,-2
2009,1,12,23,24,2493,60,N,2,13,153,W,4,3,211,4
2009,1,12,23,27,4021,58,N,14,6,155,W,10,32,262,11
2009,1,12,23,37,442,61,N,18,29,152,W,14,15,462,-2
2009,1,12,23,53,820,52,N,10,79,173,W,38,16,2770,24
2009,1,13,0,3,2052,61,N,13,83,152,W,7,52,540,-1
2009,1,13,0,5,3521,60,N,2,56,153,W,4,42,145,0
2009,1,13,7,42,1340,61,N,14,75,152,W,13,18,149,3
2009,1,13,9,50,5510,60,N,2,26,153,W,,46,116,1
2009,1,13,10,0,3029,60,N,2,88,153,W,,90,175,-2
2009,1,13,10,51,3274,58,N,13,31,155,W,8,65,189,2
2009,1,13,12,51,285,58,N,14,10,155,W,10,3,0,2
2009,1,13,14,40,1813,58,N,13,12,155,W,7,91,149,7
2009,1,14,11,15,2655,54,N,36,41,163,W,31,87,615,13
2009,1,14,11,36,5246,60,N,2,5,153,W,4,13,158,10
2009,1,14,11,36,5519,60,N,1,88,153,W,4,67,81,4
2009,1,14,18,32,2954,58,N,9,78,155,W,21,11,0,3
2009,1,14,18,55,898,60,N,3,62,153,W,7,8,0,-1
2009,1,14,23,24,4372,60,N,1,53,153,W,4,38,207,7
2009,1,15,0,2,3810,61,N,18,33,152,W,14,21,0,0
2009,1,15,1,51,547,54,N,37,51,163,W,31,72,913,20
2009,1,15,2,52,4563,58,N,15,64,155,W,6,34,383,9
2009,1,15,3,1,1789,58,N,13,97,155,W,,90,333,13
2009,1,15,7,49,968,60,N,57,40,152,W,29,35,990,11
2009,1,15,7,57,1644,53,N,54,86,166,W,55,43,433,9
2009,1,15,15,51,3924,53,N,50,95,166,W,56,54,393,10
2009,1,15,20,51,228,53,N,50,12,166,W,54,50,569,13
2009,1,15,20,51,2683,53,N,50,98,166,W,56,72,268,8
2009,1,15,20,52,2514,53,N,50,25,166,W,55,12,513,7
2009,1,15,20,56,2151,53,N,50,2,166,W,54,90,600,13
2009,1,15,22,25,257,58,N,17,78,154,W,59,47,295,10
2009,1,15,22,33,1161,58,N,14,3,155,W,9,18,58,5
2009,1,15,22,57,3467,53,N,51,1,166,W,56,58,412,4
2009,1,15,22,58,2442,53,N,50,92,166,W,56,48,561,16
2009,1,15,23,10,1528,60,N,57,37,152,W,28,16,1107,6
2009,1,16,1,6,1254,53,N,50,92,166,W,56,31,621,13
2009,1,16,1,28,1434,61,N,17,25,152,W,20,98,106,7
2009,1,16,7,58,1467,58,N,21,6,154,W,44,10,414,11
2009,1,16,8,56,713,58,N,9,91,155,W,20,47,60,4
2009,1,16,12,41,4722,53,N,50,87,166,W,56,39,411,12
2009,1,16,13,11,2911,60,N,,64,153,W,4,62,499,6
2009,1,16,13,19,273,61,N,17,81,152,W,13,99,584,5
2009,1,16,13,50,3977,60,N,2,12,153,W,3,31,0,-1
2009,1,16,13,50,4233,60,N,2,9,153,W,3,65,0,1
2009,1,16,14,30,4904,61,N,30,66,152,W,,5,541,18
2009,1,16,16,7,3383,61,N,9,16,152,W,14,14,506,4
2009,1,16,16,7,795,53,N,50,46,166,W,54,68,57,8
2009,1,16,16,7,5772,53,N,51,40,166,W,58,46,0,7
2009,1,16,16,11,496,51,N,46,25,178,W,29,86,1500,13
2009,1,16,19,45,1738,58,N,15,82,154,W,56,2,0,11
2009,1,16,22,13,577,61,N,18,26,152,W,14,49,0,2
2009,1,17,0,5,2240,58,N,10,14,155,W,20,93,149,7
2009,1,17,0,26,3929,58,N,9,47,155,W,21,33,111,13
2009,1,17,6,16,5960,53,N,51,13,166,W,56,62,400,8
2009,1,17,11,43,4378,61,N,11,43,152,W,15,84,552,5
2009,1,17,11,44,2250,52,N,18,48,174,W,13,66,281,4
2009,1,17,13,35,2062,54,N,37,58,163,W,32,16,928,14
2009,1,17,15,45,1284,61,N,9,5,152,W,17,93,520,14
2009,1,17,16,13,4531,58,N,10,23,155,W,20,56,33,7
2009,1,18,0,38,2281,53,N,16,40,168,W,4,43,1850,18
2009,1,18,11,40,2720,51,N,32,17,177,W,32,17,1580,23
2009,1,18,11,43,5338,58,N,16,31,154,W,55,15,513,5
2009,1,18,11,55,1011,60,N,2,9,153,W,4,13,133,3
2009,1,18,13,19,4906,54,N,36,81,163,W,30,97,720,15
2009,1,18,13,21,5008,53,N,58,15,166,W,40,38,519,8
2009,1,18,14,45,3187,58,N,20,36,154,W,54,78,310,4
2009,1,18,15,32,3448,58,N,10,73,155,W,20,29,197,2
2009,1,18,19,2,3973,58,N,7,72,154,W,30,13,893,17
2009,1,18,21,52,5608,58,N,17,41,154,W,58,88,269,13
2009,1,19,0,36,2784,60,N,1,91,153,W,4,45,57,7
2009,1,19,1,52,5406,60,N,2,13,153,W,4,4,137,4
2009,1,19,1,52,5832,60,N,2,58,153,W,4,70,7,6
2009,1,19,7,27,3047,58,N,10,69,155,W,17,40,223,8
2009,1,19,7,38,1152,54,N,50,40,164,W,2,0,26,14
2009,1,19,9,7,3139,60,N,29,76,152,W,46,42,0,4
2009,1,19,9,23,4084,57,N,52,37,156,W,51,53,441,13
2009,1,19,13,48,3890,51,N,57,6,177,W,36,98,780,21
2009,1,19,13,50,1976,61,N,13,57,152,W,17,38,260,9
2009,1,19,20,7,5615,60,N,3,98,153,W,3,55,43,-1
2009,1,19,20,34,663,52,N,19,1,174,W,,11,530,11
2009,1,19,21,48,4340,52,N,17,26,173,W,54,66,1500,11
2009,1,20,4,29,2712,51,N,53,11,177,W,36,41,585,17
2009,1,20,4,34,266,58,N,10,29,155,W,21,4,176,3
2009,1,20,12,1,832,60,N,1,90,153,W,4,13,0,4
2009,1,20,12,1,1082,60,N,2,24,153,W,3,66,41,3
2009,1,20,13,13,1373,52,N,19,97,174,W,7,17,640,7
2009,1,20,21,7,3585,61,N,8,77,152,W,22,38,495,11
2009,1,20,23,1,4299,60,N,32,89,153,W,23,6,1664,0
2009,1,20,23,5,3341,58,N,10,54,155,W,22,39,198,3
2009,1,21,1,57,1432,51,N,51,40,177,W,35,15,838,16
2009,1,21,10,0,5062,60,N,,78,153,W,1,18,165,-6
2009,1,21,10,38,2861,58,N,37,8,154,W,47,31,767,14
2009,1,21,13,14,4931,60,N,18,58,152,W,38,52,973,5
2009,1,21,13,29,1715,58,N,24,98,154,W,46,57,480,5
2009,1,21,13,32,336,54,N,41,41,163,W,41,52,0,12
2009,1,21,14,40,4959,58,N,19,2,154,W,6,55,1262,14
2009,1,21,15,46,920,61,N,54,29,144,W,4,10,192,14
2009,1,21,19,26,3863,61,N,19,16,152,W,14,88,348,1
2009,1,21,20,9,2118,51,N,49,96,178,W,51,90,1207,12
2009,1,21,23,28,4840,53,N,46,48,166,W,51,59,933,7
2009,1,22,6,26,3359,61,N,30,43,151,W,57,18,541,11
2009,1,22,12,6,4624,59,N,,64,153,W,51,66,447,15
2009,1,22,14,35,1817,61,N,18,84,152,W,16,67,741,3
2009,1,22,20,59,1174,60,N,3,38,153,W,1,94,255,1
2009,1,22,21,21,894,60,N,2,59,153,W,4,77,92,-1
2009,1,22,21,21,3728,60,N,2,94,153,W,3,91,186,0
2009,1,22,21,29,5986,60,N,2,70,153,W,4,29,159,4
2009,1,23,0,51,1800,58,N,11,24,155,W,17,36,0,5
2009,1,23,2,45,451,60,N,2,24,153,W,2,86,64,5
2009,1,23,3,15,403,60,N,31,54,152,W,37,35,1163,-5
2009,1,23,6,46,3558,51,N,52,93,176,W,27,97,1336,28
2009,1,23,7,20,3058,61,N,18,2,152,W,14,18,365,4
2009,1,23,7,28,4509,61,N,29,64,151,W,58,14,846,7
2009,1,23,9,8,2207,60,N,32,74,152,W,46,20,3198,16
2009,1,23,9,24,3817,61,N,18,8,152,W,14,26,196,1
2009,1,23,16,7,1686,59,N,1,48,153,W,49,79,652,20
2009,1,24,4,47,4118,51,N,51,14,177,W,34,76,447,12
2009,1,24,9,2,835,53,N,11,66,168,W,2,92,1129,17
2009,1,24,10,36,3142,60,N,4,25,153,W,3,2,265,-1
2009,1,24,11,45,4270,60,N,3,10,153,W,3,52,64,7
2009,1,24,12,28,3433,60,N,2,60,153,W,4,30,0,6
2009,1,24,13,17,2226,53,N,12,86,168,W,28,28,1553,15
2009,1,24,16,43,4907,60,N,3,5,153,W,3,88,88,3
2009,1,24,17,5,801,52,N,23,63,174,W,5,47,554,10
2009,1,24,20,26,2340,60,N,29,60,152,W,45,61,0,-3
2009,1,24,20,40,912,51,N,51,4,177,W,54,92,576,12
2009,1,24,22,4,3103,60,N,33,0,153,W,25,53,1444,8
2009,1,24,23,59,2728,51,N,48,25,178,W,21,89,282,22
2009,1,25,5,27,3172,61,N,29,37,151,W,59,63,675,10
2009,1,25,7,4,5923,51,N,53,23,177,W,51,28,466,14
2009,1,25,7,14,3094,51,N,52,78,177,W,51,97,520,10
2009,1,25,10,47,4632,60,N,28,25,152,W,42,40,0,3
2009,1,25,11,34,5284,60,N,29,11,152,W,46,77,0,8
2009,1,25,12,14,634,60,N,29,59,152,W,46,46,0,9
2009,1,25,12,14,3110,60,N,28,47,152,W,45,13,122,2
2009,1,25,12,14,5660,60,N,29,40,152,W,46,22,0,8
2009,1,25,12,16,696,60,N,29,72,152,W,45,90,0,4
2009,1,25,12,16,3666,60,N,29,57,152,W,45,93,0,7
2009,1,25,13,48,4351,60,N,28,25,152,W,45,63,92,11
2009,1,25,13,57,3558,60,N,29,88,152,W,45,3,0,6
2009,1,25,13,58,5360,60,N,29,37,152,W,46,99,0,7
2009,1,25,14,6,1669,60,N,29,44,152,W,46,61,0,7
2009,1,25,14,13,3187,51,N,49,74,177,W,35,25,814,14
2009,1,25,14,17,3048,60,N,30,2,152,W,45,16,0,6
2009,1,25,14,42,1566,60,N,29,19,152,W,46,69,0,8
2009,1,25,15,5,119,60,N,29,68,152,W,44,46,0,4
2009,1,25,15,9,3451,60,N,29,2,152,W,46,44,1,5
2009,1,25,15,19,1981,60,N,29,58,152,W,43,80,380,11
2009,1,25,15,19,4515,60,N,29,76,152,W,46,37,0,8
2009,1,25,15,25,2524,60,N,29,69,152,W,45,96,0,7
2009,1,25,17,13,3701,60,N,29,58,152,W,43,55,111,-9
2009,1,25,17,29,3034,60,N,29,75,152,W,46,19,0,-3
2009,1,25,17,53,4943,60,N,29,29,152,W,45,33,0,6
2009,1,25,18,14,3218,60,N,29,44,152,W,44,91,0,4
2009,1,25,18,16,3237,60,N,30,16,152,W,45,97,0,7
2009,1,25,18,26,3692,60,N,29,72,152,W,44,74,0,3
2009,1,25,19,15,4646,60,N,29,35,152,W,45,48,0,4
2009,1,25,19,24,1929,60,N,4,76,153,W,3,49,0,-1
2009,1,25,19,28,4176,60,N,29,48,152,W,45,34,0,8
2009,1,25,19,31,4779,60,N,28,95,152,W,44,18,0,2
2009,1,25,20,4,779,60,N,28,78,152,W,43,53,0,6
2009,1,25,20,8,1277,53,N,54,11,166,W,59,9,753,7
2009,1,25,20,19,309,60,N,29,73,152,W,44,73,0,1
2009,1,25,20,25,1042,60,N,30,3,152,W,45,47,0,3
2009,1,25,20,27,584,60,N,28,17,152,W,44,62,334,12
2009,1,25,20,37,3216,60,N,29,38,152,W,44,66,269,6
2009,1,25,20,47,3969,60,N,29,57,152,W,47,6,0,9
2009,1,25,20,47,5132,51,N,43,53,178,W,49,90,2391,16
2009,1,25,21,15,2490,60,N,28,42,152,W,47,20,0,10
2009,1,25,21,56,265,60,N,29,55,152,W,42,21,0,-2
2009,1,25,22,45,2618,60,N,29,37,152,W,45,89,0,6
2009,1,25,22,50,233,60,N,29,50,152,W,45,15,25,8
2009,1,25,22,51,695,60,N,28,20,152,W,45,18,0,18
2009,1,25,23,7,1510,60,N,29,46,152,W,46,50,0,4
2009,1,26,0,32,4966,60,N,14,76,152,W,41,76,909,14
2009,1,26,1,59,306,60,N,2,40,153,W,4,88,100,1
2009,1,26,2,12,683,51,N,53,53,177,W,50,19,711,4
2009,1,26,3,13,5494,53,N,56,62,166,W,33,20,835,12
2009,1,26,5,18,2235,58,N,16,74,154,W,59,11,206,4
2009,1,26,5,57,474,58,N,25,68,154,W,47,91,608,6
2009,1,26,5,58,4156,53,N,56,69,166,W,32,93,340,8
2009,1,26,7,17,649,53,N,56,67,166,W,33,4,769,10
2009,1,26,7,20,4579,61,N,31,55,152,W,1,17,515,8
2009,1,26,8,7,3401,56,N,51,4,158,W,18,32,0,2
2009,1,26,10,36,1945,54,N,45,22,164,W,11,51,81,11
2009,1,26,10,46,4313,53,N,56,74,166,W,33,9,965,14
2009,1,26,11,52,4022,60,N,29,15,152,W,46,1,0,13
2009,1,26,13,15,5927,58,N,9,98,155,W,20,33,65,1
2009,1,26,14,17,726,58,N,10,88,155,W,16,84,95,17
2009,1,26,14,18,4735,58,N,10,97,155,W,17,55,147,-1
2009,1,26,14,18,5401,58,N,11,3,155,W,17,58,125,2
2009,1,26,14,19,1461,58,N,11,12,155,W,17,44,159,-2
2009,1,26,15,12,1248,51,N,55,77,177,W,37,34,598,13
2009,1,26,16,38,1469,53,N,56,73,166,W,33,41,1036,13
2009,1,26,18,4,258,58,N,11,9,155,W,17,64,153,6
2009,1,26,19,17,1165,60,N,29,2,152,W,44,98,0,6
2009,1,26,20,0,4551,55,N,18,44,162,W,23,85,984,16
2009,1,26,21,8,4489,58,N,17,42,154,W,51,12,377,21
2009,1,26,22,14,1795,51,N,49,32,177,W,9,17,1745,11
2009,1,26,23,7,1787,58,N,10,82,155,W,16,81,312,2
2009,1,26,23,29,2722,60,N,29,65,152,W,43,58,0,0
2009,1,26,23,53,5248,60,N,29,41,152,W,45,89,0,2
2009,1,27,0,33,5268,60,N,29,61,152,W,46,9,0,8
2009,1,27,1,25,675,60,N,28,96,152,W,44,51,0,22
2009,1,27,1,26,5245,60,N,29,57,152,W,46,13,0,8
2009,1,27,1,26,5236,60,N,29,21,152,W,45,92,0,7
2009,1,27,2,41,1419,60,N,29,23,152,W,43,24,0,-3
2009,1,27,3,8,4309,58,N,16,37,154,W,58,88,305,10
2009,1,27,3,11,5252,60,N,30,2,152,W,46,4,213,1
2009,1,27,4,0,466,60,N,29,18,152,W,46,67,0,9
2009,1,27,4,1,2809,61,N,14,78,152,W,14,43,0,0
2009,1,27,4,39,2451,59,N,16,12,153,W,27,67,1388,18
2009,1,27,4,57,312,60,N,29,71,152,W,46,38,0,4
