year,month,day,hour,min,sec,lat,,latM,latMd,long,,longM,longMd,depth,mag
2009,1,1,5,51,1470,60,N,,70,153,W,6,95,403,8
2009,1,1,5,56,2130,58,N,9,1,155,W,21,50,0,15
2009,1,1,6,23,1913,58,N,16,25,154,W,56,64,206,7
2009,1,1,6,54,5532,53,N,55,29,166,W,19,74,1412,12
2009,1,1,11,22,1898,58,N,10,69,155,W,22,19,273,2
2009,1,1,15,33,2322,54,N,36,28,163,W,31,30,319,12
2009,1,1,16,15,2069,54,N,36,45,163,W,31,51,277,11
2009,1,1,19,49,2058,54,N,49,86,163,W,59,48,1164,9
2009,1,1,21,58,1306,54,N,37,19,163,W,30,59,899,13
2009,1,2,2,23,5673,60,N,2,20,153,W,3,27,0,-2
2009,1,2,4,20,5698,54,N,36,46,163,W,30,36,738,18
2009,1,2,8,27,821,60,N,32,33,152,W,31,6,1011,13
2009,1,2,8,45,5158,53,N,53,14,166,W,54,38,658,14
2009,1,2,8,55,1015,60,N,1,77,153,W,4,51,0,0
2009,1,2,11,25,5560,54,N,37,91,163,W,36,17,186,17
2009,1,2,18,11,5938,58,N,13,22,155,W,5,46,164,11
2009,1,2,22,52,870,58,N,14,35,155,W,7,99,136,3
2009,1,3,0,35,2631,56,N,19,74,159,W,23,11,3275,14
2009,1,3,2,36,1184,58,N,13,74,155,W,8,81,202,7
2009,1,3,3,49,3486,58,N,16,98,155,W,,27,305,8
2009,1,3,4,8,5954,58,N,12,78,155,W,12,65,175,3
2009,1,3,5,56,4978,54,N,37,64,163,W,32,61,851,9
2009,1,3,6,36,2398,55,N,15,19,162,W,23,43,995,13
2009,1,3,8,0,4818,54,N,38,61,163,W,36,54,194,23
2009,1,3,8,38,2902,58,N,14,59,155,W,7,11,0,0
2009,1,3,10,49,1022,54,N,37,80,163,W,32,60,902,17
2009,1,3,11,24,8,61,N,18,34,152,W,14,98,0,-2
2009,1,3,14,50,5620,54,N,37,37,163,W,32,32,703,14
2009,1,3,18,45,1753,58,N,14,81,155,W,7,21,0,2
2009,1,3,19,20,5927,61,N,19,10,152,W,14,66,33,0
2009,1,3,20,31,2264,58,N,14,63,155,W,6,99,0,5
2009,1,3,20,33,5856,58,N,14,98,155,W,6,56,336,6
2009,1,3,20,59,5489,58,N,14,79,155,W,7,8,179,4
2009,1,3,21,0,1452,58,N,18,34,155,W,12,12,771,10
2009,1,3,21,9,2005,58,N,14,62,155,W,7,12,120,13
2009,1,3,21,11,3084,54,N,37,51,163,W,31,76,943,25
2009,1,3,21,21,2750,54,N,37,22,163,W,31,68,906,25
2009,1,3,21,47,3889,58,N,15,4,155,W,7,31,0,-2
2009,1,3,22,29,134,54,N,37,17,163,W,32,2,691,14
2009,1,3,22,54,1407,58,N,15,21,155,W,7,27,0,-4
2009,1,4,3,59,2365,58,N,15,5,155,W,6,91,0,-2
2009,1,4,9,21,2445,61,N,30,38,151,W,54,23,1000,8
2009,1,4,16,14,2681,54,N,37,63,163,W,32,52,461,10
2009,1,4,20,49,912,55,N,6,63,162,W,10,40,406,7
2009,1,4,22,21,1268,61,N,18,13,152,W,14,60,257,-1
2009,1,5,0,5,4202,60,N,,46,153,W,3,38,251,6
2009,1,5,0,28,2450,54,N,36,87,163,W,30,82,317,16
2009,1,5,0,40,500,54,N,38,75,163,W,33,23,42,14
2009,1,5,4,28,2607,60,N,,39,153,W,3,40,218,6
2009,1,5,5,51,239,61,N,30,78,151,W,55,96,1027,13
2009,1,5,6,21,4403,60,N,,41,153,W,2,89,295,3
2009,1,5,6,26,2079,58,N,16,62,154,W,56,74,413,11
2009,1,5,7,2,1654,58,N,14,72,155,W,6,6,185,6
2009,1,5,11,40,3872,58,N,14,86,155,W,6,72,0,11
2009,1,5,12,9,2746,58,N,14,75,155,W,7,4,0,3
2009,1,5,12,29,5000,58,N,14,71,155,W,7,9,0,0
2009,1,5,13,34,1344,61,N,18,31,152,W,14,18,0,-3
2009,1,5,13,50,3143,58,N,14,25,155,W,8,1,165,10
2009,1,5,15,36,2530,61,N,27,60,152,W,1,83,583,4
2009,1,5,15,43,984,58,N,14,69,155,W,6,70,117,9
2009,1,5,17,42,1007,58,N,14,76,155,W,6,51,0,7
2009,1,5,19,19,5931,58,N,14,85,155,W,6,39,0,1
2009,1,5,21,20,5228,58,N,15,67,155,W,6,86,346,4
2009,1,5,21,39,111,53,N,52,62,166,W,50,62,475,1
2009,1,5,22,19,1967,53,N,54,13,166,W,18,39,1026,12
2009,1,6,2,56,62,54,N,37,8,163,W,30,17,268,16
2009,1,6,2,56,3052,54,N,37,81,163,W,33,9,706,22
2009,1,6,3,42,5444,54,N,37,4,163,W,30,68,648,20
2009,1,6,5,25,291,54,N,37,28,163,W,31,82,946,25
2009,1,6,6,43,3657,54,N,37,99,163,W,32,40,952,14
2009,1,6,6,57,1602,54,N,37,50,163,W,32,7,696,24
2009,1,6,8,35,1280,54,N,37,25,163,W,31,6,398,14
2009,1,6,9,41,2576,54,N,37,23,163,W,31,66,748,13
2009,1,6,10,12,2730,54,N,37,84,163,W,33,2,172,13
2009,1,6,10,19,5090,60,N,2,2,153,W,4,75,0,1
2009,1,6,10,29,5975,54,N,37,44,163,W,31,13,906,19
2009,1,6,10,36,1666,54,N,37,20,163,W,31,34,688,11
2009,1,6,10,43,4351,54,N,37,67,163,W,31,17,926,20
2009,1,6,10,44,5066,54,N,37,79,163,W,32,17,855,15
2009,1,6,10,49,2104,54,N,36,85,163,W,32,24,818,12
2009,1,6,10,59,2382,54,N,36,71,163,W,30,66,592,14
2009,1,6,11,4,179,54,N,37,48,163,W,31,59,735,26
2009,1,6,11,22,2610,52,N,20,12,174,W,9,4,746,9
2009,1,6,11,59,961,54,N,37,84,163,W,31,96,648,11
2009,1,6,12,15,2586,54,N,37,97,163,W,31,75,946,24
2009,1,6,12,55,2663,58,N,10,46,155,W,21,19,169,15
2009,1,6,14,13,478,54,N,37,65,163,W,31,74,733,9
2009,1,6,14,43,3264,58,N,14,74,155,W,7,24,0,2
