time,lat,long,depth,mag,ms
2009-01-31T11:48:13.370Z,60.5055,-152.74866666666668,-3,0.1,1233402493370
2009-01-31T12:34:23.960Z,51.74666666666667,-179.0735,6.06,0,1233405263960
2009-02-01T02:04:59.110Z,60.498,-152.76883333333333,-1,0,1233453899110
2009-02-01T12:44:18.050Z,60.49216666666667,-152.76283333333333,0.53,0.1,1233492258050
2009-02-01T14:08:41.950Z,60.50033333333333,-152.75766666666667,-3,0,1233497321950
2009-02-01T23:23:03.850Z,60.50216666666667,-152.753,-3,0.1,1233530583850
2009-02-02T01:58:04.230Z,60.49483333333333,-152.75333333333333,0.3,0.1,1233539884230
2009-02-02T05:58:23.320Z,60.503,-152.76116666666667,-2.39,0.1,1233554303320
2009-02-02T11:16:18.750Z,60.50216666666667,-152.75816666666665,-2.02,0.1,1233573378750
2009-02-02T13:51:16.060Z,60.50216666666667,-152.762,-3,0.1,1233582676060
2009-02-02T15:35:30.220Z,60.498666666666665,-152.7775,-2.55,0.1,1233588930220
2009-02-02T18:29:49.470Z,60.494166666666665,-152.77,-3,0.1,1233599389470
2009-02-04T02:06:43.390Z,60.49883333333333,-152.77583333333334,-1.04,0,1233713203390
2009-02-05T01:55:44.510Z,60.504666666666665,-152.7485,-3,0,1233798944510
2009-02-05T03:34:18.620Z,60.473333333333336,-152.785,-0.1,0,1233804858620
2009-02-05T14:55:53.300Z,60.47566666666667,-152.7625,-3,0.1,1233845753300
2009-02-05T18:58:21.870Z,61.253,-152.452,3.68,0.1,1233860301870
2009-02-07T23:00:19.660Z,60.4955,-152.75616666666667,-3,0.1,1234047619660
2009-02-08T03:08:03.930Z,60.5,-152.74866666666668,-3,0.1,1234062483930
2009-02-08T05:39:46.680Z,60.4985,-152.75283333333334,-2.58,0,1234071586680
2009-02-08T06:37:17.590Z,60.49316666666667,-152.74483333333333,-2.76,0,1234075037590
2009-02-09T03:15:48.810Z,60.51233333333333,-152.72866666666667,-3,0.1,1234149348810
2009-02-09T06:58:35.950Z,60.508,-152.75233333333333,-3,0.1,1234162715950
2009-02-09T09:47:22.760Z,61.32483333333333,-152.26283333333333,-0.7,0,1234172842760
2009-02-09T14:40:16.360Z,60.4825,-152.7725,-2.85,0,1234190416360
2009-02-09T22:31:55.760Z,60.496,-152.75483333333332,0.98,0.1,1234218715760
2009-02-10T00:23:37.750Z,60.48566666666667,-152.75266666666667,-3,0.1,1234225417750
2009-02-10T17:34:24.170Z,60.49616666666667,-152.7595,-3,0.1,1234287264170
2009-02-10T20:32:13.190Z,60.489666666666665,-152.779,-3,0.1,1234297933190
2009-02-11T01:15:50.550Z,60.49066666666667,-152.7745,0.1,0,1234314950550
2009-02-11T13:43:48.940Z,59.9925,-152.96033333333332,2.79,0,1234359828940
2009-02-12T15:48:04.190Z,60.49666666666667,-152.73783333333333,-3,0,1234453684190
2009-02-14T12:09:05.090Z,60.519333333333336,-152.7095,0.71,0.1,1234613345090
2009-02-15T08:28:45.290Z,60.48733333333333,-152.74183333333335,-3,0.1,1234686525290
2009-02-15T09:16:08.030Z,61.29866666666667,-152.234,3.08,0.1,1234689368030
2009-02-15T15:29:14.770Z,60.50783333333333,-152.77916666666667,-2.8,0,1234711754770
2009-02-16T02:22:57.850Z,60.4845,-152.75983333333335,-3,0.1,1234750977850
2009-02-16T07:37:55.410Z,60.504,-152.73416666666665,-3,0.1,1234769875410
2009-02-16T09:58:26.010Z,61.308166666666665,-152.25783333333334,1.67,0,1234778306010
2009-02-16T15:25:29.680Z,60.485,-152.76083333333332,0.93,0.1,1234797929680
2009-02-17T21:56:22.520Z,60.488166666666665,-152.77983333333333,-3,0,1234907782520
2009-02-18T05:46:40.070Z,60.51766666666666,-152.92116666666666,6.17,0,1234936000070
2009-02-19T00:26:47.930Z,60.48683333333334,-152.76633333333334,-3,0,1235003207930
2009-02-19T00:29:46.680Z,60.502833333333335,-152.74016666666665,-3,0.1,1235003386680
2009-02-20T00:05:19.590Z,60.515,-152.705,-3,0,1235088319590
2009-02-20T05:25:13.340Z,60.48533333333334,-152.76333333333332,-3,0,1235107513340
2009-02-20T08:49:49.510Z,60.50683333333333,-152.726,-3,0,1235119789510
2009-02-20T09:26:57.080Z,60.486666666666665,-152.75766666666667,-3,0.1,1235122017080
2009-02-20T15:29:25.940Z,60.477833333333336,-152.7805,-0.31,0,1235143765940
2009-02-20T15:42:38.180Z,60.492,-152.74483333333333,-2.7,0.1,1235144558180
2009-02-20T15:44:01.210Z,60.4565,-152.714,4.06,0,1235144641210
2009-02-21T08:40:35.030Z,60.50116666666667,-152.739,0.15,0.1,1235205635030
2009-02-22T04:47:24.570Z,60.488166666666665,-152.76883333333333,-2.9,0.1,1235278044570
2009-02-22T04:51:08.450Z,60.4955,-152.76116666666667,-3,0.1,1235278268450
2009-02-22T04:51:39.060Z,60.469,-152.73,4.3,0.1,1235278299060
2009-02-23T03:44:50.950Z,60.492666666666665,-152.75766666666667,-3,0,1235360690950
2009-02-23T06:23:16.560Z,58.166,-155.33916666666667,-2.37,0.1,1235370196560
2009-02-23T15:14:53.940Z,58.18233333333333,-155.32533333333333,2.11,0.1,1235402093940
2009-02-23T15:23:28.070Z,60.0685,-153.10333333333332,2.91,0.1,1235402608070
2009-02-24T03:47:11.890Z,60.493833333333335,-152.7245,-3,0,1235447231890
2009-02-25T11:11:26.830Z,58.229,-155.13516666666666,-0.93,0.1,1235560286830
2009-02-25T11:14:10.160Z,58.231833333333334,-155.14516666666665,0.71,0.1,1235560450160
2009-02-26T02:10:52.950Z,60.506,-152.7715,0.13,0.1,1235614252950
2009-02-26T02:41:14.590Z,60.47716666666667,-152.7605,2.48,0,1235616074590
2009-02-26T04:50:38.990Z,60.49916666666667,-152.78733333333332,2.25,0.1,1235623838990
2009-02-26T05:59:48.970Z,60.475,-152.748,-0.04,0.1,1235627988970
2009-02-26T07:20:32.840Z,60.49016666666667,-152.76466666666667,1.59,0.1,1235632832840
2009-02-26T07:55:22.170Z,60.4985,-152.77883333333332,-3,0.1,1235634922170
2009-02-26T08:05:40.040Z,60.485166666666665,-152.76666666666668,-3,0.1,1235635540040
2009-02-26T08:22:23.410Z,60.478,-152.768,0.01,0.1,1235636543410
2009-02-26T08:39:26.240Z,60.486333333333334,-152.76783333333333,1.06,0,1235637566240
2009-02-26T09:45:12.580Z,60.5095,-152.7785,0.98,0,1235641512580
2009-02-26T09:57:20.260Z,60.4855,-152.76816666666667,0.2,0.1,1235642240260
