time,lat,long,depth,mag
2008-12-31T17:58:11.570Z,58.1833337,-155.347500695,115,8
2008-12-31T17:41:01.080Z,53.193167053,-168.068500137,1006,14
2008-12-31T17:14:05.390Z,53.208667084,-168.044000088,1082,17
2008-12-31T13:55:32.410Z,58.419167505,-154.759668186,602,13
2008-12-31T13:07:21.960Z,61.290833915,-152.250167167,311,0
2008-12-31T12:40:45.660Z,54.620501241,-163.5333344,725,13
2008-12-31T05:17:35.380Z,53.846001692,-166.848501697,725,6
2008-12-31T03:16:24.720Z,61.138000276,-152.29000058,496,5
2008-12-31T03:13:42.430Z,61.305500611,-152.237000474,216,-3
2008-12-31T02:25:42.180Z,53.929668526,-166.7000014,279,-1
2008-12-31T02:19:35.450Z,58.186167039,-155.36333406,616,4
2008-12-30T20:17:46.350Z,54.620501241,-163.503834341,871,15
2008-12-30T17:59:01.860Z,54.606334546,-163.510334354,588,21
2008-12-30T17:47:03.810Z,58.239000478,-155.133833601,164,5
2008-12-30T13:03:10.280Z,54.621501243,-163.496334326,881,18
2008-12-30T13:01:42.720Z,58.272167211,-154.994501989,207,9
2008-12-30T11:54:38.530Z,54.704668076,-163.61833457,0,8
2008-12-30T09:10:35.110Z,61.301500603,-152.245333824,194,1
2008-12-30T06:38:26.310Z,54.597334528,-163.496000992,344,15
2008-12-30T02:31:39.580Z,53.913668494,-166.326833987,1087,15
2008-12-30T02:29:38.520Z,53.914168495,-166.312500625,1067,12
2008-12-30T02:27:37.950Z,53.926335186,-166.323833981,1000,21
2008-12-30T02:27:10.120Z,53.91833517,-166.31500063,1075,26
2008-12-29T23:04:39.550Z,58.420500841,-154.418667504,571,9
2008-12-29T22:52:13.730Z,58.454000908,-154.442834219,1085,8
2008-12-29T22:16:05.880Z,60.008166683,-153.053000106,265,3
2008-12-29T11:39:22.180Z,61.295500591,-152.215167097,715,2
2008-12-29T11:27:30.240Z,52.338500677,-174.120500241,354,3
2008-12-29T04:20:48.510Z,52.337167341,-174.16166699,2044,11
2008-12-29T01:42:56.460Z,53.946001892,-166.695334724,386,6
2008-12-29T00:24:46.840Z,59.988835311,-152.962335258,164,5
2008-12-29T00:07:48.570Z,60.00833335,-153.057833449,222,3
2008-12-28T20:27:33.100Z,61.488667644,-151.97500195,527,3
2008-12-28T19:13:41.690Z,61.21333376,-152.485334304,795,4
2008-12-28T08:02:50.410Z,58.203500407,-155.250667168,0,6
2008-12-28T02:48:30.230Z,58.663001326,-154.427667522,814,14
2008-12-28T02:07:20.530Z,58.170500341,-155.345500691,345,15
2008-12-27T18:01:28.030Z,61.227000454,-152.262833859,391,3
2008-12-27T15:34:16.810Z,60.041000082,-153.069500139,0,-2
2008-12-27T11:04:34.990Z,60.723668114,-152.864168395,1500,18
2008-12-27T04:41:16.390Z,58.168000336,-155.353667374,188,7
2008-12-27T04:39:33.960Z,58.167167001,-155.351500703,344,18
2008-12-27T03:38:37.560Z,53.241000482,-168.299167265,312,9
2008-12-27T03:23:09.470Z,58.172833679,-155.387834109,376,6
2008-12-27T01:16:11.370Z,53.883835101,-166.281167229,1000,13
2008-12-26T21:06:04.500Z,60.01000002,-153.064000128,259,1
2008-12-26T20:20:04.930Z,58.289000578,-154.961835257,386,9
2008-12-26T16:59:00.630Z,54.622834579,-163.540334414,499,10
2008-12-26T15:36:56.310Z,58.192667052,-155.262500525,176,3
2008-12-26T12:31:44.170Z,61.307167281,-152.244500489,421,5
2008-12-26T11:03:39.320Z,60.004833343,-153.054833443,263,9
