time,lat,long,depth,mag
2009-12-22T00:58:04.890Z,58.237500475,-155.180833695,259,9
2009-12-20T19:56:07.470Z,52.075666818,-176.116333566,0,3
2009-12-20T18:30:55.560Z,58.597834529,-154.383667434,879,19
2009-12-20T02:10:19.090Z,58.423000846,-154.808501617,423,9
2009-12-19T21:29:48.090Z,58.398500797,-154.663501327,853,12
2009-12-19T21:29:28.760Z,58.377000754,-154.611334556,677,13
2009-12-19T19:13:50.310Z,61.482000964,-151.99333532,468,7
2009-12-19T18:29:30.450Z,61.174167015,-152.292500585,504,2
2009-12-19T10:23:22.280Z,53.860335054,-166.473167613,1016,12
2009-12-19T08:22:37.800Z,61.459500919,-151.204667076,450,5
2009-12-19T08:01:56.960Z,58.172000344,-155.34333402,0,6
2009-12-19T07:39:14.020Z,58.178000356,-155.339167345,0,7
2009-12-19T06:20:12.210Z,58.174833683,-155.346334026,105,3
2009-12-18T19:59:25.670Z,57.606167879,-155.816168299,825,16
2009-12-18T18:52:07.430Z,55.150166967,-162.207000414,307,7
2009-12-18T16:19:17.570Z,58.430500861,-154.832001664,353,9
2009-12-18T15:30:29.010Z,60.644001288,-152.032500065,1500,12
2009-12-18T14:50:12.370Z,58.42000084,-154.812834959,337,11
2009-12-18T06:34:18.070Z,58.172500345,-155.351167369,79,9
2009-12-18T03:59:37.430Z,61.308500617,-152.243833821,0,7
2009-12-18T03:05:38.770Z,60.517167701,-152.713501427,628,4
2009-12-18T02:16:20.720Z,61.482834299,-151.745168157,1338,6
2009-12-18T00:23:25.840Z,58.069500139,-156.504667676,262,22
2009-12-17T23:02:02.450Z,58.073666814,-156.506167679,802,17
2009-12-17T14:59:58.000Z,58.19333372,-155.257833849,125,6
2009-12-17T10:43:27.430Z,61.181167029,-152.234833803,583,0
2009-12-17T07:50:00.980Z,58.405167477,-154.869335072,573,5
2009-12-17T06:00:42.510Z,51.764334862,-179.047666762,546,13
2009-12-16T22:34:08.030Z,58.183000366,-155.303167273,309,11
2009-12-16T17:21:35.000Z,53.96333526,-166.702834739,495,5
2009-12-16T10:55:38.750Z,61.455834245,-152.004166675,351,5
2009-12-16T06:34:26.110Z,58.169833673,-155.346834027,0,6
2009-12-16T05:09:03.100Z,58.272667212,-154.992668652,200,7
2009-12-16T03:06:50.630Z,58.227167121,-155.172167011,138,0
2009-12-15T19:00:09.840Z,60.513167693,-152.689001378,809,-1
2009-12-15T17:55:05.490Z,61.124333582,-152.670668008,636,4
2009-12-15T12:29:18.980Z,51.869335072,-178.471834277,1500,14
2009-12-15T03:39:51.040Z,61.118166903,-152.682168031,553,16
2009-12-14T15:23:28.420Z,58.278667224,-154.976835287,122,3
2009-12-14T15:07:25.570Z,55.072333478,-162.099333532,233,12
2009-12-14T13:44:51.730Z,61.285667238,-152.177000354,58,6
2009-12-14T13:34:35.170Z,61.08166683,-152.687334708,323,8
2009-12-14T06:51:13.570Z,57.874668416,-156.502834339,1093,8
2009-12-14T04:41:17.340Z,55.083166833,-162.101000202,366,8
2009-12-14T01:56:38.910Z,52.06833347,-176.13000026,376,-3
2009-12-13T23:44:32.330Z,58.387167441,-154.932168531,356,7
2009-12-13T23:06:20.120Z,53.555834445,-167.069166805,946,17
2009-12-13T18:44:26.110Z,58.172667012,-155.335834005,0,1
2009-12-13T17:56:52.830Z,57.894668456,-156.454500909,992,11
2009-12-13T15:32:55.360Z,60.558167783,-152.650667968,93,6
2009-12-13T14:32:10.260Z,58.4000008,-154.86833507,300,15
2009-12-13T09:19:42.870Z,58.165500331,-155.322333978,242,6
2009-12-13T00:29:38.290Z,57.883168433,-156.475167617,929,12
