time,lat,long,depth,mag,ms
2007-01-06T02:52:09.940Z,58.7981666667,-153.6398333333,4.53,-0.1,1168051929940
2007-01-06T03:12:24.970Z,58.7686666667,-153.6505,2.33,0,1168053144970
2007-01-06T03:41:16.780Z,58.7966666667,-153.6376666667,3.65,0.5,1168054876780
2007-01-06T08:49:21.780Z,54.6058333333,-163.5155,9.71,1.7,1168073361780
2007-01-06T15:16:36.410Z,52.3193333333,-174.1906666667,5.03,0.9,1168096596410
2007-01-06T16:05:43.050Z,58.5671666667,-154.4933333333,10.15,1.5,1168099543050
2007-01-06T16:17:43.450Z,58.5295,-154.4253333333,9.37,1.1,1168100263450
2007-01-06T16:19:03.670Z,58.535,-154.4335,10.15,1.3,1168100343670
2007-01-06T16:25:49.610Z,58.5273333333,-154.424,9.4,0.9,1168100749610
2007-01-06T16:29:00.330Z,58.5153333333,-154.4125,9.1,1.4,1168100940330
2007-01-06T16:34:28.320Z,58.2925,-154.9811666667,1.69,0.7,1168101268320
2007-01-06T17:10:00.730Z,58.5261666667,-154.4113333333,9.98,0.8,1168103400730
2007-01-06T17:43:05.100Z,58.1985,-155.2471666667,1.8,0.1,1168105385100
2007-01-06T17:48:07.270Z,58.1635,-155.3735,0.38,0.2,1168105687270
2007-01-06T19:06:32.140Z,58.5611666667,-154.4725,9.1,0.9,1168110392140
2007-01-06T20:12:32.780Z,54.6176666667,-163.5111666667,9.63,0.8,1168114352780
2007-01-07T04:13:28.360Z,54.6036666667,-163.526,8.7,2.1,1168143208360
2007-01-07T05:06:23.090Z,51.8195,-178.8025,5.71,1,1168146383090
2007-01-07T06:11:20.950Z,62.0013333333,-144.0873333333,6.39,1,1168150280950
2007-01-07T06:12:38.840Z,61.1896666667,-152.2233333333,5.03,1.7,1168150358840
2007-01-07T06:38:56.560Z,54.6053333333,-163.5238333333,9.34,1.1,1168151936560
2007-01-07T06:39:07.300Z,54.6213333333,-163.5033333333,9.59,2,1168151947300
2007-01-07T07:26:26.910Z,54.5761666667,-163.5415,8.58,2,1168154786910
2007-01-07T07:34:37.960Z,54.6011666667,-163.5356666667,9.92,0.9,1168155277960
2007-01-07T07:38:32.540Z,54.6606666667,-163.6095,-1.71,1,1168155512540
2007-01-07T07:40:45.220Z,52.3216666667,-174.1563333333,5.48,0.8,1168155645220
2007-01-07T07:45:54.310Z,52.3221666667,-174.1481666667,6.34,1,1168155954310
2007-01-07T07:46:34.730Z,52.3191666667,-174.163,3.82,0.5,1168155994730
