year,month,day,hour,min,sec,lat,latDir,latMin,long,longDir,longMin,depth,mag,type,depth2
2008,1,1,6,10,277,53,N,3555,167,W,472,1001,24,E,1001
2008,1,1,21,58,2892,61,N,1982,152,W,1726,404,5,b,404
2008,1,2,2,42,5517,61,N,1863,152,W,1511,482,3,a,482
2008,1,2,6,19,5804,61,N,1252,152,W,1529,589,2,a,589
2008,1,2,6,36,292,58,N,2644,154,W,4858,307,8,a,307
2008,1,2,12,32,2117,61,N,2840,151,W,5583,999,10,E,999
2008,1,2,13,10,1006,58,N,1020,154,W,4293,799,11,a,799
2008,1,2,13,52,5132,58,N,2601,154,W,4844,313,7,a,313
2008,1,2,14,3,3127,58,N,2586,154,W,4783,401,6,a,401
2008,1,2,16,22,3878,59,N,1178,153,W,1559,1014,9,E,1014
2008,1,3,2,47,3616,62,N,49,144,W,786,606,10,b,606
2008,1,3,4,26,752,61,N,1155,152,W,1607,521,-5,a,521
2008,1,3,5,44,2975,58,N,1197,155,W,1215,621,5,a,621
2008,1,3,6,22,5507,58,N,183,155,W,1582,829,7,a,829
2008,1,3,6,58,1626,58,N,1100,155,W,1999,122,2,a,122
2008,1,3,10,41,5539,61,N,5400,144,W,527,1155,15,b,1155
2008,1,3,11,53,883,58,N,1698,154,W,5836,191,7,a,191
2008,1,3,14,18,3866,58,N,1628,154,W,5930,265,9,a,265
2008,1,3,15,1,978,58,N,1100,155,W,1657,182,8,a,182
2008,1,3,15,2,3157,58,N,1118,155,W,1634,0,-4,a,-31
2008,1,3,15,2,4331,58,N,1090,155,W,1647,194,14,a,194
2008,1,3,15,6,415,58,N,1124,155,W,2092,118,6,a,118
2008,1,3,15,6,3300,58,N,1108,155,W,1699,133,1,a,133
2008,1,3,16,8,5952,61,N,5904,143,W,5893,358,10,a,358
2008,1,3,16,12,5720,58,N,2257,154,W,5530,150,5,a,150
2008,1,4,0,16,3022,57,N,4894,155,W,560,1431,20,E,1431
2008,1,4,0,20,96,58,N,1051,155,W,2170,181,7,a,181
2008,1,4,0,50,1220,51,N,5790,178,E,2847,409,10,a,409
2008,1,4,7,8,1723,52,N,774,173,W,4939,2913,17,a,2913
2008,1,4,8,11,2253,58,N,1039,155,W,2194,199,10,a,199
2008,1,4,8,58,2825,58,N,5170,153,W,3642,313,10,a,313
2008,1,4,9,53,3409,54,N,4465,163,W,4703,2482,19,a,2482
2008,1,4,12,12,1492,62,N,118,144,W,748,508,9,b,508
2008,1,4,12,49,2003,58,N,974,155,W,1893,191,9,a,191
2008,1,4,16,12,4833,61,N,1560,152,W,1301,3054,9,a,3054
2008,1,4,17,27,4181,58,N,1006,155,W,2148,171,9,a,171
2008,1,4,18,28,599,58,N,1699,154,W,5930,217,8,a,217
2008,1,4,22,28,3175,51,N,5622,178,E,2124,261,16,a,261
2008,1,4,22,45,5521,51,N,5580,178,E,2149,441,8,a,441
2008,1,5,0,27,2890,52,N,1763,173,W,5419,3107,13,a,3107
2008,1,5,3,32,1296,62,N,105,144,W,814,313,11,b,313
2008,1,5,4,5,14,58,N,1053,155,W,2213,0,9,a,-300
2008,1,5,5,32,5522,60,N,3498,152,W,3507,1427,7,a,1427
2008,1,5,11,58,1896,51,N,4003,178,W,4156,812,10,a,812
2008,1,5,13,37,2449,58,N,391,155,W,2272,510,8,a,510
2008,1,5,20,29,2625,51,N,4238,179,W,1385,602,18,a,602
